FIPS	NAICS8	DATA
27045	11211100	16206.0000
27045	11210000	59346.0000
27045	11210003	27169.0000
27045	11212000	10963.0000
27045	11210004	32177.0000
29095	11211100	4880.0000
29095	11210000	11247.0000
29095	11210003	4889.0000
29095	11212000	9.0000
29095	11210004	6358.0000
37185	11211100	3944.0000
37185	11210000	6592.0000
37185	11210003	3944.0000
37185	11210004	2648.0000
35006	11211100	10278.0000
35006	11210000	15083.0000
35006	11210003	10281.0000
35006	11212000	3.0000
35006	11210004	4802.0000
15000	11211100	78525.9900
15000	11210000	137930.0000
15000	11210003	80538.0000
15000	11212000	2012.0100
15000	11210004	57392.0000
38007	11211100	18508.0000
38007	11210000	31163.0000
38007	11210003	18550.0000
38007	11212000	42.0000
38007	11210004	12613.0000
48243	11211100	16112.0000
48243	11210000	28210.0000
48243	11210003	16112.0000
48243	11210004	12098.0000
05129	11211100	19778.1200
05129	11210000	36252.0000
05129	11210003	19797.0000
05129	11212000	18.8800
05129	11210004	16455.0000
08069	11211100	16048.0000
08069	11210000	57507.0000
08069	11210003	26247.0000
08069	11212000	10199.0000
08069	11210004	31260.0000
13275	11211100	4199.4400
13275	11210000	10215.0000
13275	11210003	4862.0000
13275	11212000	662.5600
13275	11210004	5353.0000
18085	11211100	2701.0000
18085	11210000	18773.0000
18085	11210003	6981.0000
18085	11212000	4280.0000
18085	11210004	11792.0000
20113	11211100	14192.0000
20113	11210000	37676.0000
20113	11210003	14626.0000
20113	11212000	434.0000
20113	11210004	23050.0000
48105	11211100	10287.0000
48105	11210000	17516.0000
48105	11210003	10287.0000
48105	11210004	7229.0000
55019	11211100	5253.0000
55019	11210000	163985.0000
55019	11210003	71908.0000
55019	11212000	66655.0000
55019	11210004	92077.0000
17163	11211100	1938.0000
17163	11210000	8608.0000
17163	11210003	3080.0000
17163	11212000	1142.0000
17163	11210004	5528.0000
18037	11211100	8849.0000
18037	11210000	22975.0000
18037	11210003	11416.0000
18037	11212000	2567.0000
18037	11210004	11559.0000
19037	11211100	5986.0000
19037	11210000	34573.0000
19037	11210003	8251.0000
19037	11212000	2265.0000
19037	11210004	26322.0000
29103	11211100	14558.0000
29103	11210000	34436.0000
29103	11210003	15903.0000
29103	11212000	1345.0000
29103	11210004	18533.0000
29185	11211100	28099.0000
29185	11210000	46056.0000
29185	11210003	28287.0000
29185	11212000	188.0000
29185	11210004	17769.0000
31063	11211100	25944.0000
31063	11210000	56197.0000
31063	11210003	25950.0000
31063	11212000	6.0000
31063	11210004	30247.0000
22107	11211100	547.9900
22107	11210000	900.0000
22107	11210003	552.0000
22107	11212000	4.0100
22107	11210004	348.0000
41003	11211100	2969.0000
41003	11210000	8165.0000
41003	11210003	4779.0000
41003	11212000	1810.0000
41003	11210004	3386.0000
48457	11211100	8213.8900
48457	11210000	14052.0000
48457	11210003	8265.0000
48457	11212000	51.1100
48457	11210004	5787.0000
55119	11211100	5182.0000
55119	11210000	38998.0000
55119	11210003	21024.0000
55119	11212000	15842.0000
55119	11210004	17974.0000
17199	11211100	3459.0000
17199	11210000	7861.0000
17199	11210003	3504.0000
17199	11212000	45.0000
17199	11210004	4357.0000
20035	11211100	28610.0000
20035	11210000	52539.0000
20035	11210003	28973.0000
20035	11212000	363.0000
20035	11210004	23566.0000
28029	11211100	9218.4100
28029	11210000	16447.0000
28029	11210003	9859.0000
28029	11212000	640.5900
28029	11210004	6588.0000
30013	11211100	39410.0000
30013	11210000	64816.0000
30013	11210003	40567.0000
30013	11212000	1157.0000
30013	11210004	24249.0000
02090	11211100	652.0000
02090	11210000	1572.0000
02090	11210003	713.0000
02090	11212000	61.0000
02090	11210004	859.0000
42131	11211100	1740.0000
42131	11210000	6779.0000
42131	11210003	2857.0000
42131	11212000	1117.0000
42131	11210004	3922.0000
45025	11211100	5432.0000
45025	11210000	9624.0000
45025	11210003	5471.0000
45025	11212000	39.0000
45025	11210004	4153.0000
47019	11211100	4306.0000
47019	11210000	9642.0000
47019	11210003	4524.0000
47019	11212000	218.0000
47019	11210004	5118.0000
48425	11211100	4057.0000
48425	11210000	7347.0000
48425	11210003	4057.0000
48425	11210004	3290.0000
51141	11211100	6981.3400
51141	11210000	13113.0000
51141	11210003	7644.0000
51141	11212000	662.6600
51141	11210004	5469.0000
18137	11211100	4759.0000
18137	11210000	9956.0000
18137	11210003	5205.0000
18137	11212000	446.0000
18137	11210004	4751.0000
23003	11211100	1343.0000
23003	11210000	6938.0000
23003	11210003	2554.0000
23003	11212000	1211.0000
23003	11210004	4384.0000
27061	11211100	2594.0000
27061	11210000	4558.0000
27061	11210003	2598.0000
27061	11212000	4.0000
27061	11210004	1960.0000
41041	11211100	1713.0000
41041	11210000	2993.0000
41041	11210003	1716.0000
41041	11212000	3.0000
41041	11210004	1277.0000
47163	11211100	11374.0000
47163	11210000	24854.0000
47163	11210003	11782.0000
47163	11212000	408.0000
47163	11210004	13072.0000
21163	11211100	12613.0000
21163	11210000	21399.0000
21163	11210003	12706.0000
21163	11212000	93.0000
21163	11210004	8693.0000
31053	11211100	4765.0000
31053	11210000	40845.0000
31053	11210003	4790.0000
31053	11212000	25.0000
31053	11210004	36055.0000
41071	11211100	2927.0000
41071	11210000	21920.0000
41071	11210003	11816.0000
41071	11212000	8889.0000
41071	11210004	10104.0000
47173	11211100	6147.0000
47173	11210000	10235.0000
47173	11210003	6156.0000
47173	11212000	9.0000
47173	11210004	4079.0000
48469	11211100	31644.0000
48469	11210000	49146.0000
48469	11210003	31644.0000
48469	11210004	17502.0000
06045	11211100	16556.0000
06045	11210000	25949.0000
06045	11210003	17738.0000
06045	11212000	1182.0000
06045	11210004	8211.0000
48407	11211100	9225.0000
48407	11210000	14139.0000
48407	11210003	9225.0000
48407	11210004	4914.0000
48497	11211100	41730.0000
48497	11210000	80744.0000
48497	11210003	41827.0000
48497	11212000	97.0000
48497	11210004	38917.0000
56019	11211100	41974.0000
56019	11210000	63035.0000
56019	11210003	41986.0000
56019	11212000	12.0000
56019	11210004	21049.0000
13253	11211100	4117.4700
13253	11210000	9419.0000
13253	11210003	4278.0000
13253	11212000	160.5300
13253	11210004	5141.0000
29119	11211100	27662.0000
29119	11210000	47918.0000
29119	11210003	28002.0000
29119	11212000	340.0000
29119	11210004	19916.0000
28097	11211100	2751.0000
28097	11210000	4164.0000
28097	11210003	2751.0000
28097	11210004	1413.0000
37043	11211100	1229.0000
37043	11210000	2330.0000
37043	11210003	1229.0000
37043	11210004	1101.0000
37049	11211100	712.3000
37049	11210000	1227.0000
37049	11210003	724.0000
37049	11212000	11.7000
37049	11210004	503.0000
